id,decade,source,length,path
1950s_0000,1950s,british_library,181,1950s/1950s_0000.txt
1950s_0001,1950s,british_library,326,1950s/1950s_0001.txt
1950s_0002,1950s,british_library,321,1950s/1950s_0002.txt
1950s_0003,1950s,british_library,324,1950s/1950s_0003.txt
1950s_0004,1950s,british_library,316,1950s/1950s_0004.txt
1950s_0005,1950s,british_library,1884,1950s/1950s_0005.txt
1950s_0006,1950s,british_library,1863,1950s/1950s_0006.txt
1950s_0007,1950s,british_library,1863,1950s/1950s_0007.txt
1950s_0008,1950s,british_library,1884,1950s/1950s_0008.txt
1950s_0009,1950s,british_library,1875,1950s/1950s_0009.txt
1950s_0010,1950s,british_library,1875,1950s/1950s_0010.txt
1950s_0011,1950s,british_library,1863,1950s/1950s_0011.txt
1950s_0012,1950s,british_library,1884,1950s/1950s_0012.txt
1950s_0013,1950s,british_library,1884,1950s/1950s_0013.txt
1950s_0014,1950s,british_library,1863,1950s/1950s_0014.txt
1950s_0015,1950s,synthetic,1931,1950s/1950s_0015.txt
1950s_0016,1950s,synthetic,1931,1950s/1950s_0016.txt
1950s_0017,1950s,synthetic,1924,1950s/1950s_0017.txt
1950s_0018,1950s,synthetic,1902,1950s/1950s_0018.txt
1950s_0019,1950s,synthetic,1948,1950s/1950s_0019.txt
