id,decade,source,length,path
1920s_0000,1920s,british_library,1869,1920s/1920s_0000.txt
1920s_0001,1920s,british_library,1884,1920s/1920s_0001.txt
1920s_0002,1920s,british_library,1851,1920s/1920s_0002.txt
1920s_0003,1920s,british_library,1851,1920s/1920s_0003.txt
1920s_0004,1920s,british_library,1869,1920s/1920s_0004.txt
1920s_0005,1920s,british_library,1869,1920s/1920s_0005.txt
1920s_0006,1920s,british_library,1869,1920s/1920s_0006.txt
1920s_0007,1920s,british_library,1869,1920s/1920s_0007.txt
1920s_0008,1920s,british_library,1851,1920s/1920s_0008.txt
1920s_0009,1920s,british_library,1869,1920s/1920s_0009.txt
1920s_0010,1920s,synthetic,1935,1920s/1920s_0010.txt
1920s_0011,1920s,synthetic,1911,1920s/1920s_0011.txt
1920s_0012,1920s,synthetic,1932,1920s/1920s_0012.txt
1920s_0013,1920s,synthetic,1923,1920s/1920s_0013.txt
1920s_0014,1920s,synthetic,1950,1920s/1920s_0014.txt
1920s_0015,1920s,synthetic,1941,1920s/1920s_0015.txt
1920s_0016,1920s,synthetic,1903,1920s/1920s_0016.txt
1920s_0017,1920s,synthetic,1923,1920s/1920s_0017.txt
1920s_0018,1920s,synthetic,1925,1920s/1920s_0018.txt
1920s_0019,1920s,synthetic,1902,1920s/1920s_0019.txt
