id,decade,source,length,path
1960s_0000,1960s,british_library,1890,1960s/1960s_0000.txt
1960s_0001,1960s,british_library,1884,1960s/1960s_0001.txt
1960s_0002,1960s,british_library,1884,1960s/1960s_0002.txt
1960s_0003,1960s,british_library,1884,1960s/1960s_0003.txt
1960s_0004,1960s,british_library,1890,1960s/1960s_0004.txt
1960s_0005,1960s,british_library,1890,1960s/1960s_0005.txt
1960s_0006,1960s,british_library,1890,1960s/1960s_0006.txt
1960s_0007,1960s,british_library,1890,1960s/1960s_0007.txt
1960s_0008,1960s,british_library,1884,1960s/1960s_0008.txt
1960s_0009,1960s,british_library,1884,1960s/1960s_0009.txt
1960s_0010,1960s,gutenberg,2529,1960s/1960s_0010.txt
1960s_0011,1960s,gutenberg,4820,1960s/1960s_0011.txt
1960s_0012,1960s,gutenberg,4925,1960s/1960s_0012.txt
1960s_0013,1960s,gutenberg,4928,1960s/1960s_0013.txt
1960s_0014,1960s,gutenberg,4870,1960s/1960s_0014.txt
1960s_0015,1960s,gutenberg,4772,1960s/1960s_0015.txt
1960s_0016,1960s,gutenberg,4728,1960s/1960s_0016.txt
1960s_0017,1960s,gutenberg,4320,1960s/1960s_0017.txt
1960s_0018,1960s,gutenberg,1900,1960s/1960s_0018.txt
1960s_0019,1960s,synthetic,1923,1960s/1960s_0019.txt
