id,decade,source,length,path
2020s_0000,2020s,british_library,224,2020s/2020s_0000.txt
2020s_0001,2020s,british_library,314,2020s/2020s_0001.txt
2020s_0002,2020s,british_library,328,2020s/2020s_0002.txt
2020s_0003,2020s,gutenberg,5004,2020s/2020s_0003.txt
2020s_0004,2020s,gutenberg,5037,2020s/2020s_0004.txt
2020s_0005,2020s,gutenberg,4960,2020s/2020s_0005.txt
2020s_0006,2020s,gutenberg,4949,2020s/2020s_0006.txt
2020s_0007,2020s,gutenberg,4829,2020s/2020s_0007.txt
2020s_0008,2020s,gutenberg,4858,2020s/2020s_0008.txt
2020s_0009,2020s,gutenberg,4968,2020s/2020s_0009.txt
2020s_0010,2020s,gutenberg,4952,2020s/2020s_0010.txt
2020s_0011,2020s,gutenberg,4984,2020s/2020s_0011.txt
2020s_0012,2020s,gutenberg,5003,2020s/2020s_0012.txt
2020s_0013,2020s,gutenberg,5061,2020s/2020s_0013.txt
2020s_0014,2020s,gutenberg,5018,2020s/2020s_0014.txt
2020s_0015,2020s,gutenberg,2565,2020s/2020s_0015.txt
2020s_0016,2020s,gutenberg,5049,2020s/2020s_0016.txt
2020s_0017,2020s,gutenberg,4067,2020s/2020s_0017.txt
