id,decade,source,length,path
1880s_0000,1880s,british_library,158,1880s/1880s_0000.txt
1880s_0001,1880s,british_library,322,1880s/1880s_0001.txt
1880s_0002,1880s,british_library,321,1880s/1880s_0002.txt
1880s_0003,1880s,british_library,321,1880s/1880s_0003.txt
1880s_0004,1880s,british_library,318,1880s/1880s_0004.txt
1880s_0005,1880s,british_library,1971,1880s/1880s_0005.txt
1880s_0006,1880s,british_library,1971,1880s/1880s_0006.txt
1880s_0007,1880s,british_library,2001,1880s/1880s_0007.txt
1880s_0008,1880s,british_library,1971,1880s/1880s_0008.txt
1880s_0009,1880s,british_library,1971,1880s/1880s_0009.txt
1880s_0010,1880s,british_library,1971,1880s/1880s_0010.txt
1880s_0011,1880s,british_library,1971,1880s/1880s_0011.txt
1880s_0012,1880s,british_library,2001,1880s/1880s_0012.txt
1880s_0013,1880s,british_library,2001,1880s/1880s_0013.txt
1880s_0014,1880s,british_library,1971,1880s/1880s_0014.txt
1880s_0015,1880s,synthetic,2012,1880s/1880s_0015.txt
1880s_0016,1880s,synthetic,2049,1880s/1880s_0016.txt
1880s_0017,1880s,synthetic,2046,1880s/1880s_0017.txt
1880s_0018,1880s,synthetic,2019,1880s/1880s_0018.txt
1880s_0019,1880s,synthetic,2033,1880s/1880s_0019.txt
