id,decade,source,length,path
1850s_0000,1850s,british_library,159,1850s/1850s_0000.txt
1850s_0001,1850s,british_library,320,1850s/1850s_0001.txt
1850s_0002,1850s,british_library,320,1850s/1850s_0002.txt
1850s_0003,1850s,british_library,320,1850s/1850s_0003.txt
1850s_0004,1850s,british_library,324,1850s/1850s_0004.txt
1850s_0005,1850s,british_library,1956,1850s/1850s_0005.txt
1850s_0006,1850s,british_library,1938,1850s/1850s_0006.txt
1850s_0007,1850s,british_library,1956,1850s/1850s_0007.txt
1850s_0008,1850s,british_library,1956,1850s/1850s_0008.txt
1850s_0009,1850s,british_library,1956,1850s/1850s_0009.txt
1850s_0010,1850s,british_library,1956,1850s/1850s_0010.txt
1850s_0011,1850s,british_library,1956,1850s/1850s_0011.txt
1850s_0012,1850s,british_library,1956,1850s/1850s_0012.txt
1850s_0013,1850s,british_library,1956,1850s/1850s_0013.txt
1850s_0014,1850s,british_library,1938,1850s/1850s_0014.txt
1850s_0015,1850s,synthetic,1017,1850s/1850s_0015.txt
1850s_0016,1850s,synthetic,1004,1850s/1850s_0016.txt
1850s_0017,1850s,synthetic,1017,1850s/1850s_0017.txt
1850s_0018,1850s,synthetic,1046,1850s/1850s_0018.txt
1850s_0019,1850s,synthetic,1007,1850s/1850s_0019.txt
