id,decade,source,length,path
1970s_0000,1970s,british_library,216,1970s/1970s_0000.txt
1970s_0001,1970s,british_library,323,1970s/1970s_0001.txt
1970s_0002,1970s,british_library,325,1970s/1970s_0002.txt
1970s_0003,1970s,british_library,325,1970s/1970s_0003.txt
1970s_0004,1970s,british_library,321,1970s/1970s_0004.txt
1970s_0005,1970s,gutenberg,4708,1970s/1970s_0005.txt
1970s_0006,1970s,gutenberg,4520,1970s/1970s_0006.txt
1970s_0007,1970s,gutenberg,4320,1970s/1970s_0007.txt
1970s_0008,1970s,gutenberg,2529,1970s/1970s_0008.txt
1970s_0009,1970s,gutenberg,1350,1970s/1970s_0009.txt
1970s_0010,1970s,gutenberg,4728,1970s/1970s_0010.txt
1970s_0011,1970s,gutenberg,4928,1970s/1970s_0011.txt
1970s_0012,1970s,gutenberg,4361,1970s/1970s_0012.txt
1970s_0013,1970s,gutenberg,1900,1970s/1970s_0013.txt
