id,decade,source,length,path
1890s_0000,1890s,british_library,2052,1890s/1890s_0000.txt
1890s_0001,1890s,british_library,2052,1890s/1890s_0001.txt
1890s_0002,1890s,british_library,2049,1890s/1890s_0002.txt
1890s_0003,1890s,british_library,2052,1890s/1890s_0003.txt
1890s_0004,1890s,british_library,2052,1890s/1890s_0004.txt
1890s_0005,1890s,british_library,2052,1890s/1890s_0005.txt
1890s_0006,1890s,british_library,2052,1890s/1890s_0006.txt
1890s_0007,1890s,british_library,2052,1890s/1890s_0007.txt
1890s_0008,1890s,british_library,2049,1890s/1890s_0008.txt
1890s_0009,1890s,british_library,2052,1890s/1890s_0009.txt
1890s_0010,1890s,synthetic,1030,1890s/1890s_0010.txt
1890s_0011,1890s,synthetic,2037,1890s/1890s_0011.txt
1890s_0012,1890s,synthetic,1044,1890s/1890s_0012.txt
1890s_0013,1890s,synthetic,2059,1890s/1890s_0013.txt
1890s_0014,1890s,synthetic,2059,1890s/1890s_0014.txt
1890s_0015,1890s,synthetic,2023,1890s/1890s_0015.txt
1890s_0016,1890s,synthetic,2070,1890s/1890s_0016.txt
1890s_0017,1890s,synthetic,2044,1890s/1890s_0017.txt
1890s_0018,1890s,synthetic,2088,1890s/1890s_0018.txt
1890s_0019,1890s,synthetic,2053,1890s/1890s_0019.txt
