id,decade,source,length,path
1930s_0000,1930s,british_library,1878,1930s/1930s_0000.txt
1930s_0001,1930s,british_library,1884,1930s/1930s_0001.txt
1930s_0002,1930s,british_library,1902,1930s/1930s_0002.txt
1930s_0003,1930s,british_library,1884,1930s/1930s_0003.txt
1930s_0004,1930s,british_library,1878,1930s/1930s_0004.txt
1930s_0005,1930s,british_library,1902,1930s/1930s_0005.txt
1930s_0006,1930s,british_library,1902,1930s/1930s_0006.txt
1930s_0007,1930s,british_library,1878,1930s/1930s_0007.txt
1930s_0008,1930s,british_library,1878,1930s/1930s_0008.txt
1930s_0009,1930s,british_library,1884,1930s/1930s_0009.txt
1930s_0010,1930s,synthetic,1900,1930s/1930s_0010.txt
1930s_0011,1930s,synthetic,1908,1930s/1930s_0011.txt
1930s_0012,1930s,synthetic,1914,1930s/1930s_0012.txt
1930s_0013,1930s,synthetic,1928,1930s/1930s_0013.txt
1930s_0014,1930s,synthetic,1919,1930s/1930s_0014.txt
1930s_0015,1930s,synthetic,1923,1930s/1930s_0015.txt
1930s_0016,1930s,synthetic,1871,1930s/1930s_0016.txt
1930s_0017,1930s,synthetic,1921,1930s/1930s_0017.txt
1930s_0018,1930s,synthetic,1881,1930s/1930s_0018.txt
1930s_0019,1930s,synthetic,1904,1930s/1930s_0019.txt
