id,decade,source,length,path
1870s_0000,1870s,british_library,1902,1870s/1870s_0000.txt
1870s_0001,1870s,british_library,1902,1870s/1870s_0001.txt
1870s_0002,1870s,british_library,1911,1870s/1870s_0002.txt
1870s_0003,1870s,british_library,1911,1870s/1870s_0003.txt
1870s_0004,1870s,british_library,1920,1870s/1870s_0004.txt
1870s_0005,1870s,british_library,1920,1870s/1870s_0005.txt
1870s_0006,1870s,british_library,1911,1870s/1870s_0006.txt
1870s_0007,1870s,british_library,1920,1870s/1870s_0007.txt
1870s_0008,1870s,british_library,1920,1870s/1870s_0008.txt
1870s_0009,1870s,british_library,1920,1870s/1870s_0009.txt
1870s_0010,1870s,synthetic,1991,1870s/1870s_0010.txt
1870s_0011,1870s,synthetic,1985,1870s/1870s_0011.txt
1870s_0012,1870s,synthetic,2036,1870s/1870s_0012.txt
1870s_0013,1870s,synthetic,2017,1870s/1870s_0013.txt
1870s_0014,1870s,synthetic,2027,1870s/1870s_0014.txt
1870s_0015,1870s,synthetic,2012,1870s/1870s_0015.txt
1870s_0016,1870s,synthetic,1988,1870s/1870s_0016.txt
1870s_0017,1870s,synthetic,2012,1870s/1870s_0017.txt
1870s_0018,1870s,synthetic,2009,1870s/1870s_0018.txt
1870s_0019,1870s,synthetic,2014,1870s/1870s_0019.txt
