id,decade,source,length,path
2000s_0000,2000s,gutenberg,5023,2000s/2000s_0000.txt
2000s_0001,2000s,gutenberg,5016,2000s/2000s_0001.txt
2000s_0002,2000s,gutenberg,4977,2000s/2000s_0002.txt
2000s_0003,2000s,gutenberg,4354,2000s/2000s_0003.txt
2000s_0004,2000s,gutenberg,4930,2000s/2000s_0004.txt
2000s_0005,2000s,gutenberg,5034,2000s/2000s_0005.txt
2000s_0006,2000s,gutenberg,4945,2000s/2000s_0006.txt
2000s_0007,2000s,gutenberg,4838,2000s/2000s_0007.txt
2000s_0008,2000s,gutenberg,4971,2000s/2000s_0008.txt
2000s_0009,2000s,gutenberg,4976,2000s/2000s_0009.txt
2000s_0010,2000s,gutenberg,4671,2000s/2000s_0010.txt
2000s_0011,2000s,gutenberg,4785,2000s/2000s_0011.txt
2000s_0012,2000s,gutenberg,5056,2000s/2000s_0012.txt
2000s_0013,2000s,gutenberg,4947,2000s/2000s_0013.txt
2000s_0014,2000s,gutenberg,4976,2000s/2000s_0014.txt
