id,decade,source,length,path
2010s_0000,2010s,british_library,219,2010s/2010s_0000.txt
2010s_0001,2010s,british_library,321,2010s/2010s_0001.txt
2010s_0002,2010s,british_library,329,2010s/2010s_0002.txt
2010s_0003,2010s,british_library,320,2010s/2010s_0003.txt
2010s_0004,2010s,british_library,318,2010s/2010s_0004.txt
2010s_0005,2010s,gutenberg,5020,2010s/2010s_0005.txt
2010s_0006,2010s,gutenberg,4815,2010s/2010s_0006.txt
2010s_0007,2010s,gutenberg,4504,2010s/2010s_0007.txt
2010s_0008,2010s,gutenberg,4827,2010s/2010s_0008.txt
2010s_0009,2010s,gutenberg,5044,2010s/2010s_0009.txt
2010s_0010,2010s,gutenberg,4901,2010s/2010s_0010.txt
2010s_0011,2010s,gutenberg,4435,2010s/2010s_0011.txt
2010s_0012,2010s,gutenberg,5026,2010s/2010s_0012.txt
2010s_0013,2010s,gutenberg,4735,2010s/2010s_0013.txt
2010s_0014,2010s,gutenberg,5009,2010s/2010s_0014.txt
2010s_0015,2010s,gutenberg,4955,2010s/2010s_0015.txt
2010s_0016,2010s,gutenberg,4973,2010s/2010s_0016.txt
2010s_0017,2010s,gutenberg,5010,2010s/2010s_0017.txt
2010s_0018,2010s,gutenberg,4949,2010s/2010s_0018.txt
2010s_0019,2010s,gutenberg,4983,2010s/2010s_0019.txt
